-,-,-
-745, -571, 346
-730, -592, 286
-757, -559, 382
-762, -575, 398
-756, -595, 397
-752, -598, 397
-774, -518, 452
-805, -466, 470
-823, -429, 495
-843, -442, 551
-843, -442, 551
-868, -486, 591
-904, -518, 622
-971, -609, 642
-1040, -762, 577
-1115, -904, 524
-1168, -1004, 519
-1214, -1085, 514
-1267, -1218, 384
-1240, -1379, 193
-1145, -1455, 30
-1068, -1471, -51
-1009, -1460, -66
-677, -1418, -523
-543, -1306, -770
-481, -1321, -837
-364, -1417, -679
-132, -1247, -692
55, -963, -710
196, -615, -580
279, -411, -438
262, -296, -247
207, -157, -44
207, -157, -44
217, 5, -42
200, 108, 18
142, 180, 246
75, 116, 502
75, 116, 502
34, -19, 642
33, -24, 617
-45, 83, 653
-119, 127, 719
-119, 127, 719
-112, 131, 711
-121, 244, 785
-248, 535, 1038
-323, 695, 1198
-330, 604, 1203
-320, 451, 1178
-335, 478, 1368
-340, 498, 1573
-308, 509, 1581
-331, 421, 1502
-360, 185, 1497
-345, 29, 1582
-345, 29, 1582
-292, 3, 1583
-314, 55, 1444
-390, 15, 1315
-432, -142, 1406
-423, -282, 1446
-392, -410, 1347
-442, -588, 1148
-584, -707, 1199
-644, -721, 1252
-647, -787, 1213
-648, -767, 1158
-697, -729, 981
-717, -753, 907
-680, -726, 749
-619, -815, 603
-550, -954, 416
-514, -1054, 245
-531, -1113, 189
-555, -1083, 213
-,-,-
-708, -435, 556
-703, -434, 539
-694, -404, 535
-710, -349, 588
-718, -378, 577
-756, -322, 653
-834, -214, 836
-899, -213, 940
-948, -311, 935
-1008, -428, 904
-1051, -581, 871
-1075, -802, 843
-1103, -997, 800
-1134, -1014, 722
-1124, -1035, 640
-1052, -1137, 535
-1023, -1284, 461
-1045, -1308, 377
-1013, -1262, 268
-917, -1199, 166
-931, -1076, 113
-1057, -916, 137
-1100, -950, 87
-940, -1019, 42
-810, -940, -134
-765, -949, -172
-614, -1113, -105
-455, -1227, -43
-400, -1301, 51
-300, -1150, -68
-99, -1060, -282
111, -952, -262
307, -720, -183
425, -507, -85
474, -320, 8
474, -320, 8
555, -168, 55
587, 15, 113
564, 299, 259
469, 567, 433
469, 567, 433
373, 687, 605
281, 934, 679
127, 1181, 805
11, 1102, 905
100, 809, 1035
-44, 836, 1196
-44, 836, 1196
-273, 1221, 1310
-403, 1470, 1413
-411, 1342, 1494
-425, 1142, 1579
-514, 1142, 1750
-602, 1055, 1955
-621, 884, 1998
-608, 634, 1998
-496, 371, 1941
-417, 90, 1861
-470, -101, 1700
-526, -421, 1431
-528, -627, 1278
-591, -782, 1093
-793, -927, 763
-944, -1161, 573
-922, -1385, 666
-,-,-
-589, 175, 796
-572, 141, 749
-623, 65, 706
-623, 65, 706
-729, 6, 731
-836, -85, 823
-893, -68, 901
-962, -53, 947
-1064, 0, 977
-1122, 55, 1081
-1122, 55, 1081
-1097, 36, 1215
-1068, 72, 1271
-1058, 198, 1272
-980, 359, 1339
-789, 531, 1504
-684, 676, 1551
-641, 597, 1543
-490, 491, 1574
-294, 669, 1595
-175, 975, 1614
-78, 1082, 1509
88, 1063, 1359
124, 1103, 1360
269, 994, 1230
385, 818, 1017
385, 818, 1017
420, 558, 831
513, 303, 565
554, 42, 308
561, -173, 151
534, -195, 113
467, -107, 120
467, -107, 120
314, -118, 119
183, -80, 70
96, -65, 8
46, -121, -102
-52, -190, -178
-52, -190, -178
-229, -241, -179
-350, -228, -185
-325, -296, -192
-365, -462, -182
-574, -590, -112
-771, -711, 33
-733, -836, 102
-682, -1213, 191
-845, -1480, 501
-1070, -1263, 999
-1115, -974, 1364
-1027, -1064, 1447
-882, -1118, 1644
-923, -875, 1977
-,-,-
-462, 99, 813
-477, 31, 755
-551, -39, 737
-643, -127, 689
-743, -238, 695
-761, -263, 841
-819, -210, 1000
-970, -150, 1041
-1073, -231, 1123
-1028, -247, 1250
-986, -207, 1330
-1027, -130, 1380
-1032, -162, 1523
-776, -135, 1711
-494, 55, 1742
-330, 361, 1686
-225, 651, 1751
-144, 774, 1947
-32, 895, 1927
-32, 895, 1927
31, 939, 1792
149, 849, 1572
249, 769, 1416
311, 768, 1319
403, 666, 1099
465, 530, 862
472, 393, 799
472, 393, 799
493, 409, 813
524, 385, 613
518, 178, 343
411, 42, 317
258, -37, 386
258, -37, 386
133, 48, 370
108, 209, 238
85, 201, 194
27, 53, 197
27, 53, 197
-20, -75, 176
-84, -167, 78
-103, -211, -111
-135, -107, -290
-154, -165, -368
-231, -409, -257
-304, -644, -144
-225, -884, -236
-206, -1135, -335
-369, -1445, -96
-483, -1617, 313
-,-,-
-296, 88, 931
-305, 42, 876
-368, 6, 849
-368, 6, 849
-411, -5, 913
-404, -60, 868
-483, -137, 821
-649, -260, 850
-756, -371, 980
-741, -416, 1074
-752, -353, 1090
-795, -282, 1156
-720, -162, 1393
-546, 147, 1600
-508, 403, 1700
-547, 414, 1747
-513, 369, 1842
-324, 383, 1842
-271, 501, 1854
-271, 501, 1854
-360, 458, 1944
-204, 340, 1957
-17, 396, 1920
82, 507, 1756
143, 504, 1505
198, 566, 1327
